NUM_LAYERS: 2, DROPOUT: 0.2, WEIGHT_DECAY: 0.001, HIDDEN_SIZE: 128, LR: 0.0001
tensor(1.1218, grad_fn=<NllLossBackward0>)
tensor(1.2602, grad_fn=<NllLossBackward0>)
tensor(1.4260, grad_fn=<NllLossBackward0>)
tensor(1.5485, grad_fn=<NllLossBackward0>)
tensor(1.0780, grad_fn=<NllLossBackward0>)
tensor(1.1546, grad_fn=<NllLossBackward0>)
tensor(1.2351, grad_fn=<NllLossBackward0>)
tensor(1.0871, grad_fn=<NllLossBackward0>)
tensor(1.3391, grad_fn=<NllLossBackward0>)
tensor(1.0107, grad_fn=<NllLossBackward0>)
tensor(1.0679, grad_fn=<NllLossBackward0>)
tensor(0.9732, grad_fn=<NllLossBackward0>)
tensor(1.1307, grad_fn=<NllLossBackward0>)
tensor(1.2430, grad_fn=<NllLossBackward0>)
tensor(0.9924, grad_fn=<NllLossBackward0>)
tensor(1.0100, grad_fn=<NllLossBackward0>)
tensor(1.3325, grad_fn=<NllLossBackward0>)
tensor(1.4047, grad_fn=<NllLossBackward0>)
tensor(0.9086, grad_fn=<NllLossBackward0>)
tensor(1.3551, grad_fn=<NllLossBackward0>)
tensor(1.4095, grad_fn=<NllLossBackward0>)
tensor(1.4668, grad_fn=<NllLossBackward0>)
tensor(1.2113, grad_fn=<NllLossBackward0>)
tensor(1.2249, grad_fn=<NllLossBackward0>)
tensor(1.0082, grad_fn=<NllLossBackward0>)
tensor(1.9685, grad_fn=<NllLossBackward0>)
tensor(1.0097, grad_fn=<NllLossBackward0>)
tensor(1.1600, grad_fn=<NllLossBackward0>)
tensor(1.0518, grad_fn=<NllLossBackward0>)
tensor(1.3910, grad_fn=<NllLossBackward0>)
tensor(1.3965, grad_fn=<NllLossBackward0>)
tensor(1.3308, grad_fn=<NllLossBackward0>)
tensor(0.8820, grad_fn=<NllLossBackward0>)
tensor(0.9850, grad_fn=<NllLossBackward0>)
tensor(1.0846, grad_fn=<NllLossBackward0>)
tensor(1.2404, grad_fn=<NllLossBackward0>)
tensor(2.2759, grad_fn=<NllLossBackward0>)
tensor(1.0233, grad_fn=<NllLossBackward0>)
tensor(1.0086, grad_fn=<NllLossBackward0>)
tensor(1.5381, grad_fn=<NllLossBackward0>)
tensor(1.7638, grad_fn=<NllLossBackward0>)
tensor(0.9873, grad_fn=<NllLossBackward0>)
tensor(1.0561, grad_fn=<NllLossBackward0>)
tensor(1.0699, grad_fn=<NllLossBackward0>)
tensor(1.2800, grad_fn=<NllLossBackward0>)
tensor(1.6877, grad_fn=<NllLossBackward0>)
tensor(0.9562, grad_fn=<NllLossBackward0>)
tensor(1.0399, grad_fn=<NllLossBackward0>)
tensor(0.9472, grad_fn=<NllLossBackward0>)
tensor(1.6088, grad_fn=<NllLossBackward0>)
tensor(0.9695, grad_fn=<NllLossBackward0>)
tensor(1.1881, grad_fn=<NllLossBackward0>)
tensor(1.6040, grad_fn=<NllLossBackward0>)
tensor(1.5932, grad_fn=<NllLossBackward0>)
tensor(0.9250, grad_fn=<NllLossBackward0>)
tensor(0.9794, grad_fn=<NllLossBackward0>)
tensor(1.4398, grad_fn=<NllLossBackward0>)
tensor(1.3529, grad_fn=<NllLossBackward0>)
tensor(1.2585, grad_fn=<NllLossBackward0>)
tensor(1.1021, grad_fn=<NllLossBackward0>)
tensor(1.0116, grad_fn=<NllLossBackward0>)
tensor(1.0675, grad_fn=<NllLossBackward0>)
tensor(0.9324, grad_fn=<NllLossBackward0>)
tensor(1.4461, grad_fn=<NllLossBackward0>)
tensor(0.9936, grad_fn=<NllLossBackward0>)
tensor(0.9633, grad_fn=<NllLossBackward0>)
tensor(1.1164, grad_fn=<NllLossBackward0>)
tensor(1.2984, grad_fn=<NllLossBackward0>)
tensor(1.0221, grad_fn=<NllLossBackward0>)
tensor(1.4061, grad_fn=<NllLossBackward0>)
tensor(1.1092, grad_fn=<NllLossBackward0>)
tensor(1.2521, grad_fn=<NllLossBackward0>)
tensor(1.2315, grad_fn=<NllLossBackward0>)
tensor(1.2885, grad_fn=<NllLossBackward0>)
tensor(1.0423, grad_fn=<NllLossBackward0>)
tensor(1.1018, grad_fn=<NllLossBackward0>)
tensor(1.1015, grad_fn=<NllLossBackward0>)
tensor(1.2945, grad_fn=<NllLossBackward0>)
tensor(1.2838, grad_fn=<NllLossBackward0>)
tensor(1.0345, grad_fn=<NllLossBackward0>)
tensor(1.4212, grad_fn=<NllLossBackward0>)
tensor(1.9154, grad_fn=<NllLossBackward0>)
tensor(1.4103, grad_fn=<NllLossBackward0>)
tensor(1.1512, grad_fn=<NllLossBackward0>)
tensor(1.0520, grad_fn=<NllLossBackward0>)
tensor(1.0012, grad_fn=<NllLossBackward0>)
tensor(1.1100, grad_fn=<NllLossBackward0>)
tensor(1.0696, grad_fn=<NllLossBackward0>)
tensor(1.0313, grad_fn=<NllLossBackward0>)
tensor(1.1814, grad_fn=<NllLossBackward0>)
tensor(1.1231, grad_fn=<NllLossBackward0>)
tensor(0.9701, grad_fn=<NllLossBackward0>)
tensor(1.0060, grad_fn=<NllLossBackward0>)
tensor(1.0508, grad_fn=<NllLossBackward0>)
tensor(1.0344, grad_fn=<NllLossBackward0>)
tensor(1.0760, grad_fn=<NllLossBackward0>)
tensor(1.2498, grad_fn=<NllLossBackward0>)
tensor(0.8612, grad_fn=<NllLossBackward0>)
tensor(0.9385, grad_fn=<NllLossBackward0>)
tensor(1.5028, grad_fn=<NllLossBackward0>)
tensor(1.2695, grad_fn=<NllLossBackward0>)
tensor(1.1034, grad_fn=<NllLossBackward0>)
tensor(0.9470, grad_fn=<NllLossBackward0>)
tensor(1.1854, grad_fn=<NllLossBackward0>)
tensor(0.9066, grad_fn=<NllLossBackward0>)
tensor(1.1563, grad_fn=<NllLossBackward0>)
tensor(1.1148, grad_fn=<NllLossBackward0>)
tensor(1.1585, grad_fn=<NllLossBackward0>)
tensor(0.9114, grad_fn=<NllLossBackward0>)
tensor(0.8283, grad_fn=<NllLossBackward0>)
tensor(1.5535, grad_fn=<NllLossBackward0>)
tensor(1.0296, grad_fn=<NllLossBackward0>)
tensor(1.3817, grad_fn=<NllLossBackward0>)
tensor(0.8296, grad_fn=<NllLossBackward0>)
tensor(1.1190, grad_fn=<NllLossBackward0>)
tensor(1.4191, grad_fn=<NllLossBackward0>)
tensor(0.7996, grad_fn=<NllLossBackward0>)
tensor(0.8065, grad_fn=<NllLossBackward0>)
tensor(0.9600, grad_fn=<NllLossBackward0>)
tensor(1.6071, grad_fn=<NllLossBackward0>)
tensor(1.0910, grad_fn=<NllLossBackward0>)
tensor(1.3608, grad_fn=<NllLossBackward0>)
tensor(0.9589, grad_fn=<NllLossBackward0>)
tensor(1.3457, grad_fn=<NllLossBackward0>)
tensor(0.9336, grad_fn=<NllLossBackward0>)
tensor(1.4165, grad_fn=<NllLossBackward0>)
tensor(0.9819, grad_fn=<NllLossBackward0>)
tensor(1.3882, grad_fn=<NllLossBackward0>)
tensor(0.9575, grad_fn=<NllLossBackward0>)
tensor(1.5642, grad_fn=<NllLossBackward0>)
tensor(1.3885, grad_fn=<NllLossBackward0>)
tensor(1.3989, grad_fn=<NllLossBackward0>)
tensor(1.0688, grad_fn=<NllLossBackward0>)
tensor(0.9047, grad_fn=<NllLossBackward0>)
tensor(1.4851, grad_fn=<NllLossBackward0>)
tensor(1.0245, grad_fn=<NllLossBackward0>)
tensor(1.0154, grad_fn=<NllLossBackward0>)
tensor(1.0592, grad_fn=<NllLossBackward0>)
tensor(0.9652, grad_fn=<NllLossBackward0>)
tensor(1.0422, grad_fn=<NllLossBackward0>)
tensor(1.2673, grad_fn=<NllLossBackward0>)
tensor(1.1001, grad_fn=<NllLossBackward0>)
tensor(0.9810, grad_fn=<NllLossBackward0>)
tensor(0.9606, grad_fn=<NllLossBackward0>)
tensor(0.9641, grad_fn=<NllLossBackward0>)
tensor(1.3696, grad_fn=<NllLossBackward0>)
tensor(0.8864, grad_fn=<NllLossBackward0>)
tensor(1.0121, grad_fn=<NllLossBackward0>)
tensor(1.0687, grad_fn=<NllLossBackward0>)
tensor(1.4533, grad_fn=<NllLossBackward0>)
tensor(0.8717, grad_fn=<NllLossBackward0>)
tensor(0.9474, grad_fn=<NllLossBackward0>)
tensor(0.9355, grad_fn=<NllLossBackward0>)
